Rank,Country,Cost of Living Index
1,Switzerland,101.1
2,Bahamas,85
3,Iceland,83
4,Singapore,76.7
5,Barbados,76.6
6,Norway,76
7,Denmark,72.3
8,Hong Kong (China),70.8
9,United States of America,70.4
10,Australia,70.2
11,Austria,65.1
12,Canada,64.8
13,New Zealand,64.6
14,Ireland,64.4
15,France,63.7
16,Puerto Rico,63.3
17,Finland,63.2
18,Netherlands,63.1
19,Israel,62.7
20,Luxembourg,62.4
21,Germany,62.2
22,United Kingdom,62
23,Belgium,61.1
24,South Korea,60.1
25,Sweden,59.3
26,Italy,56.2
27,United Arab Emirates,55.8
28,Cyprus,54.7
29,Uruguay,54.1
30,Jamaica,53.9
31,Malta,52.8
32,Trinidad And Tobago,52.6
33,Costa Rica,52.3
34,Bahrain,52.3
35,Greece,52
36,Estonia,52
37,Qatar,51.3
38,Slovenia,49.9
39,Latvia,49.1
40,Spain,47.3
41,Lithuania,47.1
42,Slovakia,46.7
43,Cuba,46.7
44,Czech Republic,46.6
45,Panama,46.4
46,Japan,46.1
47,Croatia,45.5
48,Saudi Arabia,45.3
49,Taiwan,45.2
50,Portugal,45.1
51,Oman,42.4
52,Kuwait,42.1
53,Albania,42.1
54,Lebanon,41.8
55,Hungary,41.7
56,Palestine,41.6
57,Jordan,41.2
58,Armenia,41
59,Poland,40.8
60,Mexico,40.2
61,El Salvador,39.5
62,Montenegro,39.4
63,Chile,39.1
64,Guatemala,38.8
65,Venezuela,38.3
66,Bulgaria,38.3
67,Dominican Republic,37.9
68,Serbia,37.7
69,Romania,37.5
70,Turkey,37.4
71,Cambodia,37.3
72,Cameroon,37.3
73,Zimbabwe,37.2
74,Mauritius,37.1
75,Fiji,35.4
76,Bosnia And Herzegovina,35
77,Sri Lanka,34.6
78,South Africa,34.5
79,Thailand,34.1
80,Moldova,34
81,Georgia,33.4
82,North Macedonia,33
83,Ecuador,32.6
84,Kazakhstan,31.7
85,China,31.7
86,Nigeria,31.4
87,Azerbaijan,31.2
88,Philippines,31
89,Russia,31
90,Ghana,30.9
91,Brazil,30.2
92,Kenya,30.2
93,Botswana,30.1
94,Malaysia,30
95,Peru,30
96,Morocco,29.5
97,Kosovo (Disputed Territory),29.5
98,Argentina,29.4
99,Iraq,29.3
100,Uganda,29.1
101,Algeria,28.9
102,Colombia,28.8
103,Vietnam,28.7
104,Tunisia,28.1
105,Bolivia,27.6
106,Kyrgyzstan,27.6
107,Indonesia,26.7
108,Iran,26.4
109,Uzbekistan,26.4
110,Belarus,26.4
111,Ukraine,25.9
112,Nepal,25.5
113,Paraguay,25.4
114,Madagascar,24.5
115,Syria,24
116,Tanzania,23.8
117,Bangladesh,22.5
118,India,21.2
119,Egypt,21
120,Libya,20.4
121,Pakistan,18
